Tytuł,Cena,Lokalizacja,Data,Link
(Brak tytułu),1 200 zł,Lublin - Dzisiaj o 14:51,2025-07-27 16:56:20,https://www.olx.pl/d/oferta/iphone-12-mini-64gb-CID99-ID14M1iC.html
(Brak tytułu),750 zł,"Białystok, Sienkiewicza - 24 lipca 2025",2025-07-27 16:56:20,https://www.olx.pl/d/oferta/iphone-11-pro-gold-256gb-CID99-ID16KEM3.html
(Brak tytułu),570 złdo negocjacji,Orchowo - 26 lipca 2025,2025-07-27 16:57:02,https://www.olx.pl/d/oferta/iphone-11-128-gb-CID99-ID16LPQv.html
(Brak tytułu),849 zł,Cieszyn - Odświeżono Dzisiaj o 11:44,2025-07-27 16:57:02,https://www.olx.pl/d/oferta/jak-nowy-iphone-11-pro-64gb-2-lata-gwarancji-rozne-kolory-CID99-ID12gvbu.html
(Brak tytułu),550 złdo negocjacji,Olsztyn - 24 lipca 2025,2025-07-27 16:57:32,https://www.olx.pl/d/oferta/iphone-11-64gb-white-bateria-100-dowod-zakupu-CID99-ID16KUT1.html
(Brak tytułu),1 090 zł,"Warszawa, Praga-Południe - Odświeżono dnia 24 lipca 2025",2025-07-27 16:58:02,https://www.olx.pl/d/oferta/iphone-12-128gb-red-stan-idealny-bateria-100-CID99-ID16ddta.html
(Brak tytułu),800 zł,Brzeziny Nowe - Dzisiaj o 14:54,2025-07-27 16:58:02,https://www.olx.pl/d/oferta/iphone-12-64gb-nie-zniszczony-CID99-ID13MVw8.html
(Brak tytułu),719 zł,"Kraków, Krowodrza - 01 lipca 2025",2025-07-27 16:58:02,https://www.olx.pl/d/oferta/apple-iphone-11-64gb-black-6-1-legalnie-bez-blokad-gw12-raty-0-CID99-ID109Q34.html
(Brak tytułu),950 zł,"Warszawa, Praga-Południe - 22 lipca 2025",2025-07-27 16:58:02,https://www.olx.pl/d/oferta/iphone-11-pro-64gb-gold-idealny-oryginalna-bateria-94-CID99-ID158xvB.html
(Brak tytułu),800 zł,Nowy Sącz - Odświeżono dnia 26 lipca 2025,2025-07-27 16:58:32,https://www.olx.pl/d/oferta/iphone-11-pro-idealny-stan-100-kondycji-CID99-ID16J9Lr.html
(Brak tytułu),1 039 zł,"Warszawa, Śródmieście - Odświeżono dnia 26 lipca 2025",2025-07-27 16:59:02,https://www.olx.pl/d/oferta/iphone-13-mini-128gb-i-sklep-itop-warszawa-i-gwarancja-CID99-ID12QNnV.html
(Brak tytułu),400 zł,Jarocin - Dzisiaj o 14:52,2025-07-27 16:59:02,https://www.olx.pl/d/oferta/iphone-11-128gb-sprzedam-CID99-ID16MDcG.html
